기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11140540,7097.3046,170.6861,71.4838,68.1179,146.2492,271.8,314.7824,386.7482,347.6931,395.1051,412.0541,347.6649,243.2354,154.0295,314.4378,154.1891,54.7946,123.1636,220.1113,252.5711,248.631,349.1097,333.1571,325.9814,271.0151,289.8959,167.3259,206.3422,456.928
20240825,0,11140550,10873.4539,311.5828,95.2058,145.4316,440.561,542.1653,539.0298,620.791,519.7445,642.7979,582.1375,456.0258,344.8644,171.4606,286.9319,309.3058,118.9638,136.3872,563.9632,622.5778,504.839,560.7617,407.2806,468.9294,345.6219,320.6405,234.8582,174.7024,405.8924
20240825,0,11140570,6987.2618,316.2782,105.426,173.2737,437.45,341.7748,303.2102,331.0538,289.8199,310.2505,245.7887,242.1526,152.0753,150.4811,266.2689,80.8115,38.1186,165.9855,476.9537,422.2723,277.1572,306.7693,211.9058,198.3099,207.8622,186.7183,185.9134,154.9203,408.2592
20240825,0,11140580,8389.5076,76.6922,44.1957,172.0161,678.3351,597.5953,433.2328,539.8902,357.2552,265.1242,248.3293,236.8315,179.239,118.1622,271.2145,91.7967,53.4089,133.1318,830.4076,555.3728,430.3922,454.4962,277.4395,275.5924,261.5017,238.8917,202.444,125.9736,240.5461
20240825,0,11140590,13394.8126,181.547,87.7138,183.4735,793.4075,703.3054,751.2431,828.3829,674.3282,655.2316,581.7651,417.0168,345.8935,228.5417,442.2609,112.0712,61.9688,215.6977,913.7018,942.1681,706.4799,790.7903,555.6172,481.8977,393.7953,406.0937,299.4177,164.2295,476.7724
20240825,0,11140605,6409.3299,72.0747,29.3638,53.3385,294.9248,419.4906,389.5437,448.4086,316.6825,323.1243,251.9443,251.2108,230.3313,145.7551,253.5597,71.4305,31.0568,75.3845,388.1944,482.0822,357.7914,312.0382,202.6059,237.4882,174.998,147.9438,161.5653,98.7569,188.2416
20240825,0,11140615,12978.4467,86.8147,63.2604,157.1646,434.7058,642.899,689.0538,860.3563,707.8626,551.1947,556.5378,516.1399,418.4129,257.8459,526.5019,127.1376,54.7774,132.6368,657.6917,767.6636,683.9644,756.1013,577.2665,460.181,482.7587,468.886,419.3234,209.3626,711.9456
20240825,0,11140625,13273.3645,307.5196,169.8823,321.0617,471.6806,478.6908,548.9372,564.5045,568.1351,478.4203,478.8603,583.0026,380.8147,319.5507,644.3781,377.6869,181.5236,213.3714,507.8719,582.5866,597.4368,605.9506,501.8371,536.3787,457.7563,490.1714,410.567,399.1342,1095.6532
20240825,0,11140635,13866.8737,570.1125,206.2799,162.763,301.132,325.6966,480.8759,566.7482,567.5947,605.1219,514.7553,577.7214,422.087,328.5996,736.8975,460.18,176.3912,189.2295,365.8667,501.4487,491.2623,755.2013,594.7477,568.9956,584.3411,611.1861,521.2681,416.9688,1263.4006
20240825,0,11140645,12818.3899,471.5829,224.6523,268.5341,235.4868,354.0859,437.1423,648.4712,457.2463,469.6005,465.836,487.304,417.2143,293.7614,604.032,397.3486,201.6906,217.0539,461.1823,486.5263,596.0147,723.832,514.8633,501.9961,458.0524,583.4285,489.8908,350.9855,1000.5743
20240825,0,11140650,6700.2663,170.307,78.774,119.849,133.263,283.64,294.3469,346.2385,257.969,248.9158,308.952,305.5729,230.115,156.4149,244.5541,175.9682,69.0172,92.1502,274.5492,354.7916,268.6129,377.4062,236.5275,295.4752,237.586,269.9348,267.958,200.5761,400.8011
20240825,0,11140665,13341.0025,489.6386,239.2801,275.3152,258.0429,403.363,412.4163,647.4857,527.7122,583.989,531.8589,521.7677,431.3336,298.6615,725.4584,428.8101,251.1905,332.8288,404.7342,432.325,531.9341,573.3165,549.9741,474.1197,497.7155,584.2127,534.2195,325.4657,1073.833
20240825,0,11140670,12817.8416,530.2912,139.9009,95.0803,299.1592,597.3837,650.8441,844.0315,601.4349,492.97,442.5241,378.0597,326.4943,201.5579,500.9936,328.5746,84.8689,156.1407,577.4191,800.3995,800.1017,774.7154,586.586,416.016,397.7497,402.6171,350.212,285.5242,756.1916
20240825,0,11140680,6492.6278,237.4853,81.0304,125.8229,146.9319,193.8499,257.6244,279.0441,307.7905,383.8377,260.5122,236.6857,208.8399,152.2509,361.0163,108.6716,42.19,135.8138,229.4682,228.7907,295.5085,429.5623,291.1906,328.2882,221.4983,224.9336,158.1366,103.581,462.2724
20240825,0,11170510,14245.0625,538.5986,297.6687,302.7927,302.3376,503.2579,595.9542,665.2293,558.8083,535.8808,551.1282,512.2174,462.1943,295.7446,613.3697,330.6615,174.7532,370.2856,358.7327,635.7949,635.755,842.523,572.675,606.8145,590.4775,522.1672,528.8221,408.3862,932.0324
