"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"32","인천광역시 부평구 일신동","410","0410","0000","일신주공아파트(100~112동)","전세","59.9700","202312","29","24,500","0","2","1995","항동로75번길 11","202312~202410","-","-","","","아파트"
"33","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","전세","84.9588","202312","29","35,000","0","9","2007","원적로 344","202312~202512","갱신","-","50,000","0","아파트"
"34","인천광역시 부평구 산곡동","233-26","0233","0026","태화프리상뜨","전세","59.8856","202312","29","27,000","0","4","2004","마장로220번길 65","202401~202601","갱신","사용","28,000","0","아파트"
"35","인천광역시 부평구 산곡동","255-1","0255","0001","뉴서울아파트","월세","84.8100","202312","29","500","100","8","1991","마장로264번길 33","202401~202502","-","-","","","아파트"
"36","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","전세","54.5200","202312","29","26,000","0","5","1989","부영로 165","-","-","-","","","아파트"
"37","인천광역시 부평구 산곡동","182","0182","0000","한양(182)","전세","55.1200","202312","29","10,000","0","1","1988","마장로 287","202402~202602","신규","-","","","아파트"
"38","인천광역시 부평구 산곡동","307","0307","0000","현대1차","전세","84.9600","202312","29","19,000","0","3","1986","경원대로 1269","202402~202602","신규","-","","","아파트"
"39","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","29","7,000","80","7","2022","열우물로 90","202401~202601","신규","-","","","아파트"
"40","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.4834","202312","29","10,500","63","27","2022","열우물로 90","202402~202602","갱신","-","10,500","63","아파트"
"41","인천광역시 부평구 청천동","259","0259","0000","쌍용","전세","84.8700","202312","29","30,000","0","5","1990","길주로494번길 12","202312~202510","갱신","-","36,000","0","아파트"
