"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-08-30"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.3321","202408","29","16,500","44","19","2022","열우물로 90","202410~202610","신규","-","","","아파트"
"2","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","전세","39.4800","202408","29","12,000","0","11","1989","충선로 191","202403~202603","갱신","사용","17,000","0","아파트"
"3","인천광역시 부평구 부평동","946","0946","0000","래미안부평(임대)","월세","39.0530","202408","29","3,848","44","13","2014","길주남로10번길 11","202408~202411","신규","-","","","아파트"
"4","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","전세","59.9600","202408","29","35,000","0","6","2022","원적로287번길 25","202411~202611","신규","-","","","아파트"
"5","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.5385","202408","29","13,000","35","15","2022","열우물로 90","202411~202611","갱신","-","13,000","35","아파트"
"6","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","전세","59.9950","202408","28","29,000","0","6","2011","안남로 269","202411~202611","갱신","사용","29,000","0","아파트"
"7","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202408","28","14,500","39","10","2022","열우물로 90","202409~202609","신규","-","","","아파트"
"8","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","전세","59.8032","202408","28","28,350","0","41","2022","열우물로 90","202410~202609","갱신","-","27,000","0","아파트"
"9","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","전세","84.9600","202408","28","40,000","0","8","2004","체육관로 57","202408~202608","신규","-","","","아파트"
"10","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.5385","202408","28","10,000","44","5","2022","열우물로 90","202411~202611","갱신","-","10,000","44","아파트"
