,NO,본번,부번,전용면적(㎡),계약년월,계약일,거래금액,층,건축년도
NO,1.0,0.010013222584438755,0.01656224263519483,-0.035989222072233484,-0.7753053044068702,-0.03687603118015107,-0.09182963892002546,-0.04689277127445326,-0.0589339269556047
본번,0.010013222584438755,1.0,-0.11591135506592302,-0.014673362900435978,-0.006795750827605262,0.0009216411513437022,-0.11062875062903516,-0.008953131037382944,0.24046283671262633
부번,0.01656224263519483,-0.11591135506592302,1.0,-0.02194499919134082,-0.014300781012196605,-0.007045798188330174,-0.09426984821210531,-0.0562791358470193,-0.13327184528001856
전용면적(㎡),-0.035989222072233484,-0.014673362900435978,-0.02194499919134082,1.0,0.03327325447450751,0.00019701059127894607,0.6502946517356438,0.17073313672037455,0.21152960037293222
계약년월,-0.7753053044068702,-0.006795750827605262,-0.014300781012196605,0.03327325447450751,1.0,-0.014430647854683364,0.06434294392253026,0.03335201824592133,0.03581371578132496
계약일,-0.03687603118015107,0.0009216411513437022,-0.007045798188330174,0.00019701059127894607,-0.014430647854683364,1.0,0.0042536335367731075,-0.0020717727281464966,0.00161160543963988
거래금액,-0.09182963892002546,-0.11062875062903516,-0.09426984821210531,0.6502946517356438,0.06434294392253026,0.0042536335367731075,1.0,0.40349839437810914,0.5752039694373132
층,-0.04689277127445326,-0.008953131037382944,-0.0562791358470193,0.17073313672037455,0.03335201824592133,-0.0020717727281464966,0.40349839437810914,1.0,0.374632471088085
건축년도,-0.0589339269556047,0.24046283671262633,-0.13327184528001856,0.21152960037293222,0.03581371578132496,0.00161160543963988,0.5752039694373132,0.374632471088085,1.0
